Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,68,0,4,5.021465531385997,3.343909978866577,22.705922834575176,2586.0,1.1517915094768603,0.0,4,5,5,5,7,7,17,23,23,23,23
GET,/api/cart/add/anonymous-31/EMM/1,1,0,14.387746341526508,14.387746341526508,14.387746341526508,14.387746341526508,215.0,0.01693811043348324,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-31/RMC/1,1,0,61.34918238967657,61.34918238967657,61.34918238967657,61.34918238967657,108.0,0.01693811043348324,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-32/HPTD/1,1,0,16.344117932021618,16.344117932021618,16.344117932021618,16.344117932021618,121.0,0.01693811043348324,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/cart/add/anonymous-32/RED/1,1,0,17.821560613811016,17.821560613811016,17.821560613811016,17.821560613811016,219.0,0.01693811043348324,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/cart/add/anonymous-33/RED/1,1,0,104.06403057277203,104.06403057277203,104.06403057277203,104.06403057277203,132.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-33/SHCE/1,1,0,149.06396344304085,149.06396344304085,149.06396344304085,149.06396344304085,225.0,0.01693811043348324,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/cart/add/anonymous-34/EPE/1,1,0,42.33955964446068,42.33955964446068,42.33955964446068,42.33955964446068,129.0,0.01693811043348324,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/api/cart/add/anonymous-34/SHCE/1,1,0,101.33106913417578,101.33106913417578,101.33106913417578,101.33106913417578,222.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-35/EPE/1,1,0,102.91826631873846,102.91826631873846,102.91826631873846,102.91826631873846,129.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-35/Watson/1,1,0,103.65653969347477,103.65653969347477,103.65653969347477,103.65653969347477,200.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-36/HPTD/1,1,0,42.735482566058636,42.735482566058636,42.735482566058636,42.735482566058636,226.0,0.01693811043348324,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/api/cart/add/anonymous-36/UHJ/1,1,0,76.11356861889362,76.11356861889362,76.11356861889362,76.11356861889362,138.0,0.01693811043348324,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/api/cart/add/anonymous-37/EMM/1,1,0,77.43825204670429,77.43825204670429,77.43825204670429,77.43825204670429,137.0,0.01693811043348324,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/api/cart/add/anonymous-37/HPTD/1,1,0,71.85967359691858,71.85967359691858,71.85967359691858,71.85967359691858,223.0,0.01693811043348324,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/api/cart/add/anonymous-38/EMM/1,1,0,19.473470747470856,19.473470747470856,19.473470747470856,19.473470747470856,205.0,0.01693811043348324,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-38/EPE/1,1,0,88.2571404799819,88.2571404799819,88.2571404799819,88.2571404799819,129.0,0.01693811043348324,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/cart/add/anonymous-39/EMM/1,1,0,13.876455835998058,13.876455835998058,13.876455835998058,13.876455835998058,137.0,0.01693811043348324,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-39/RED/1,1,0,19.144712015986443,19.144712015986443,19.144712015986443,19.144712015986443,221.0,0.01693811043348324,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-40/EPE/1,1,0,14.434232376515865,14.434232376515865,14.434232376515865,14.434232376515865,217.0,0.01693811043348324,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-40/HPTD/1,1,0,82.88691379129887,82.88691379129887,82.88691379129887,82.88691379129887,121.0,0.01693811043348324,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/api/cart/add/anonymous-41/SHCE/1,1,0,90.74068628251553,90.74068628251553,90.74068628251553,90.74068628251553,198.0,0.01693811043348324,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/api/cart/add/anonymous-41/Watson/1,1,0,105.27164489030838,105.27164489030838,105.27164489030838,105.27164489030838,106.0,0.01693811043348324,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-42/EMM/1,1,0,60.88577676564455,60.88577676564455,60.88577676564455,60.88577676564455,223.0,0.01693811043348324,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/cart/add/anonymous-42/HPTD/1,1,0,44.7209756821394,44.7209756821394,44.7209756821394,44.7209756821394,121.0,0.01693811043348324,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-43/EPE/1,1,0,62.190573662519455,62.190573662519455,62.190573662519455,62.190573662519455,200.0,0.01693811043348324,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/cart/add/anonymous-43/Watson/1,1,0,59.282734990119934,59.282734990119934,59.282734990119934,59.282734990119934,106.0,0.01693811043348324,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/cart/add/anonymous-44/RMC/1,1,0,15.936341136693954,15.936341136693954,15.936341136693954,15.936341136693954,216.0,0.01693811043348324,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/cart/add/anonymous-44/UHJ/1,1,0,85.642303340137,85.642303340137,85.642303340137,85.642303340137,138.0,0.01693811043348324,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/api/cart/add/anonymous-45/HPTD/1,1,0,15.466001816093922,15.466001816093922,15.466001816093922,15.466001816093922,200.0,0.01693811043348324,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-45/STAN-1/1,1,0,32.390148378908634,32.390148378908634,32.390148378908634,32.390148378908634,111.0,0.01693811043348324,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/cart/add/anonymous-46/EPE/1,1,0,14.493560418486595,14.493560418486595,14.493560418486595,14.493560418486595,220.0,0.01693811043348324,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-46/UHJ/1,1,0,15.7325379550457,15.7325379550457,15.7325379550457,15.7325379550457,138.0,0.01693811043348324,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/cart/add/anonymous-47/EPE/1,1,0,96.18494659662247,96.18494659662247,96.18494659662247,96.18494659662247,129.0,0.01693811043348324,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/api/cart/add/anonymous-47/Watson/1,1,0,15.0981480255723,15.0981480255723,15.0981480255723,15.0981480255723,200.0,0.01693811043348324,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-48/HPTD/1,1,0,25.147147476673126,25.147147476673126,25.147147476673126,25.147147476673126,121.0,0.01693811043348324,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/cart/add/anonymous-48/SHCE/1,1,0,17.21884123980999,17.21884123980999,17.21884123980999,17.21884123980999,213.0,0.01693811043348324,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-49/SHCE/1,2,0,16.197805292904377,58.97436663508415,16.197805292904377,101.75092797726393,124.5,0.03387622086696648,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-50/SHCE/1,1,0,75.00242255628109,75.00242255628109,75.00242255628109,75.00242255628109,124.0,0.01693811043348324,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/api/cart/add/anonymous-50/STAN-1/1,1,0,56.21525924652815,56.21525924652815,56.21525924652815,56.21525924652815,203.0,0.01693811043348324,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/api/cart/add/anonymous-51/EMM/1,1,0,21.063663996756077,21.063663996756077,21.063663996756077,21.063663996756077,221.0,0.01693811043348324,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/cart/add/anonymous-51/RED/1,1,0,14.660965651273727,14.660965651273727,14.660965651273727,14.660965651273727,132.0,0.01693811043348324,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-52/HPTD/1,1,0,19.399150274693966,19.399150274693966,19.399150274693966,19.399150274693966,226.0,0.01693811043348324,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/cart/add/anonymous-52/UHJ/1,1,0,104.04737386852503,104.04737386852503,104.04737386852503,104.04737386852503,138.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-53/EPE/1,1,0,45.05395237356424,45.05395237356424,45.05395237356424,45.05395237356424,129.0,0.01693811043348324,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/cart/add/anonymous-53/STAN-1/1,1,0,64.25266619771719,64.25266619771719,64.25266619771719,64.25266619771719,179.0,0.01693811043348324,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/cart/add/anonymous-54/HPTD/1,2,0,100.67072976380587,109.90741942077875,100.67072976380587,119.14410907775164,121.0,0.03387622086696648,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/cart/add/anonymous-55/UHJ/1,1,0,15.12225717306137,15.12225717306137,15.12225717306137,15.12225717306137,138.0,0.01693811043348324,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-55/Watson/1,1,0,48.099638894200325,48.099638894200325,48.099638894200325,48.099638894200325,209.0,0.01693811043348324,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-56/EPE/1,2,0,70,70.40444714948535,69.82269883155823,70.98619546741247,129.5,0.03387622086696648,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/cart/add/anonymous-57/EPE/1,1,0,19.610214047133923,19.610214047133923,19.610214047133923,19.610214047133923,129.0,0.01693811043348324,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/cart/add/anonymous-57/RED/1,1,0,94.63763609528542,94.63763609528542,94.63763609528542,94.63763609528542,201.0,0.01693811043348324,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/api/cart/add/anonymous-58/Watson/1,2,0,15.45364037156105,19.192808773368597,15.45364037156105,22.931977175176144,105.0,0.03387622086696648,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/api/cart/add/anonymous-59/EMM/1,1,0,24.057012982666492,24.057012982666492,24.057012982666492,24.057012982666492,137.0,0.01693811043348324,0.0,24,24,24,24,24,24,24,24,24,24,24
